Date,Pink,Orange,Blue,Silver,Yellow,Red,Purple,None
2019-01-01 23:59:59,7,15,21,84,24,24,0,0
2019-01-15 23:59:59,8,15,24,80,22,21,0,0
2019-02-01 23:59:59,6,15,24,68,24,18,0,0
2019-02-15 23:59:59,10,19,35,72,23,17,0,0
2019-03-01 23:59:59,15,23,39,68,21,16,0,0
2019-03-15 23:59:59,12,16,40,56,30,23,0,0
2019-04-01 23:59:59,9,17,33,56,28,26,0,0
2019-04-15 23:59:59,7,18,35,50,34,27,0,0
2019-05-01 23:59:59,10,23,36,56,30,10,19,0
2019-05-15 23:59:59,14,19,30,54,29,10,19,0
2019-06-01 23:59:59,9,19,37,63,30,8,16,0
2019-06-15 23:59:59,9,15,36,58,34,8,13,1
2019-07-01 23:59:59,4,9,36,56,32,10,12,0
2019-07-15 23:59:59,3,15,35,63,31,10,11,0
2019-08-01 23:59:59,6,16,41,64,30,12,17,0
2019-08-15 23:59:59,9,14,39,64,28,12,14,0
2019-09-01 23:59:59,13,16,41,66,25,11,8,0
2019-09-15 23:59:59,13,13,33,73,22,10,10,1
2019-10-01 23:59:59,12,24,37,77,19,13,8,0
2019-10-15 23:59:59,22,19,37,74,21,16,8,0
2019-11-01 23:59:59,6,15,38,66,21,16,8,0
2019-11-15 23:59:59,15,20,37,68,21,17,6,0
2019-12-01 23:59:59,11,12,32,82,25,16,4,0
2019-12-15 23:59:59,6,8,32,88,25,16,5,0
2020-01-01 23:59:59,12,13,30,69,22,19,6,0
2020-01-15 23:59:59,14,18,35,57,27,16,7,0
2020-02-01 23:59:59,13,11,33,64,25,16,12,0
2020-02-15 23:59:59,13,19,33,58,24,18,11,0
2020-03-01 23:59:59,14,15,22,63,24,16,12,0
2020-03-15 23:59:59,6,12,15,57,29,13,13,0
2020-04-01 23:59:59,5,8,7,19,15,10,16,1
2020-04-15 23:59:59,6,7,9,14,16,6,18,0
2020-05-01 23:59:59,20,18,7,13,9,6,18,0
2020-05-15 23:59:59,16,10,6,12,9,5,19,0
2020-06-01 23:59:59,7,6,3,18,9,5,21,0
2020-06-15 23:59:59,9,5,8,13,12,7,23,0
2020-07-01 23:59:59,4,9,13,16,11,11,15,1
2020-07-15 23:59:59,11,10,14,23,7,8,13,0
2020-08-01 23:59:59,7,9,15,22,8,10,10,0
2020-08-15 23:59:59,6,10,21,27,8,10,13,0
2020-09-01 23:59:59,13,13,12,22,11,9,10,0
2020-09-15 23:59:59,14,7,11,21,16,10,8,0
2020-10-01 23:59:59,9,12,14,20,16,11,9,0
2020-10-15 23:59:59,6,9,18,27,18,12,8,0
2020-11-01 23:59:59,12,8,18,30,21,10,6,2
2020-11-15 23:59:59,10,7,15,28,30,8,10,0
2020-12-01 23:59:59,9,11,11,32,34,11,9,0
2020-12-15 23:59:59,2,6,19,40,36,9,15,0
